Data size, BST os-select, randomised select, select
100,2485.400, 25001.400, 93408.200
200,3500.000, 20691.000, 50492.500
300,1791.300, 10528.200, 34702.200
400,1819.300, 13433.000, 48080.300
500,1666.300, 11656.500, 37100.500
600,2916.800, 13379.400, 40106.800
700,3416.300, 24271.600, 49285.700
800,1366.100, 32609.200, 59466.400
900,1079.000, 31453.400, 65117.500
1000,1423.900, 7139.600, 65589.900
1100,736.200, 6915.100, 67693.400
1200,930.100, 8123.200, 65341.500
1300,1307.900, 9302.300, 93069.200
1400,1329.200, 7986.800, 100032.600
1500,1241.300, 10444.900, 95885.700
1600,1235.200, 9224.200, 110801.600
1700,1293.200, 13255.000, 120035.400
1800,1426.300, 9606.400, 127463.900
1900,1554.900, 11206.700, 132981.700
2000,817.300, 10548.100, 91606.400
2100,592.100, 8926.600, 93882.700
2200,1042.800, 12707.300, 105265.400
2300,1058.600, 14169.700, 145581.400
2400,861.700, 14486.800, 151036.600
2500,1072.000, 15238.800, 126861.100
2600,1354.200, 12872.300, 128667.100
2700,930.400, 11616.500, 108071.100
2800,1110.700, 11521.300, 111636.800
2900,876.700, 13661.000, 113273.700
3000,1153.600, 17078.100, 119802.500
3100,1044.500, 13696.700, 122570.400
3200,1020.500, 16378.600, 126049.800
3300,903.800, 13786.200, 134244.800
3400,2568.900, 19063.100, 259426.800
3500,2458.400, 18447.500, 225343.800
3600,1704.500, 19467.000, 233903.600
3700,2218.600, 25420.700, 235102.500
3800,1092.600, 15196.100, 167926.100
3900,1139.600, 14179.200, 169468.500
4000,1070.900, 18812.600, 176631.900
4100,974.800, 20403.300, 177748.200
4200,806.800, 19062.300, 181829.600
4300,658.100, 16165.800, 168024.700
4400,4945.800, 26405.000, 214723.600
4500,1218.100, 22550.200, 243633.800
4600,1215.300, 30971.600, 254095.200
4700,930.000, 25820.400, 206221.100
4800,773.500, 23149.200, 182273.200
4900,1319.400, 27248.500, 237341.500
5000,1118.700, 32746.800, 272886.300
5100,1079.700, 27279.400, 281136.000
5200,2742.500, 24348.700, 244806.500
5300,355.900, 26221.000, 201787.600
5400,438.700, 22590.400, 200462.600
5500,436.100, 26071.500, 210746.600
5600,552.800, 20898.800, 209177.400
5700,375.200, 21780.400, 208018.200
5800,331.500, 22694.800, 213518.000
5900,363.400, 25802.300, 218303.200
6000,479.600, 25761.300, 226338.700
6100,559.400, 26679.000, 242539.500
6200,642.400, 27171.800, 241298.700
6300,684.200, 25467.200, 245797.500
6400,500.600, 26712.400, 244966.800
6500,682.100, 26617.500, 252401.800
6600,614.500, 31629.500, 250698.700
6700,657.700, 34344.700, 270362.100
6800,1026.300, 33324.300, 308297.300
6900,1828.500, 47093.500, 380163.900
7000,1229.700, 40677.300, 378720.800
7100,2322.300, 39275.200, 398553.100
7200,1569.500, 52082.500, 385385.900
7300,1334.100, 36665.500, 376383.800
7400,1678.000, 41790.800, 358639.400
7500,759.800, 32707.800, 318694.800
7600,924.000, 39570.100, 339049.200
7700,774.700, 33842.900, 349674.900
7800,430.000, 29370.300, 290523.700
7900,680.900, 35255.200, 311351.500
8000,628.800, 30551.000, 316271.100
8100,488.400, 37137.800, 301143.100
8200,1124.900, 42386.800, 364021.500
8300,961.800, 43452.300, 357447.600
8400,403.900, 25761.800, 305993.600
8500,515.300, 43354.500, 309669.400
8600,334.900, 32695.100, 324493.400
8700,346.200, 36024.300, 308255.900
8800,353.300, 35798.000, 311349.900
8900,378.000, 31217.800, 324770.000
9000,332.400, 36886.900, 323998.100
9100,327.300, 39913.000, 324142.300
9200,316.300, 34387.700, 328888.500
9300,333.900, 46341.500, 329533.200
9400,351.100, 41379.800, 336504.300
9500,321.600, 36083.200, 341292.600
9600,340.600, 34135.700, 339244.900
9700,664.900, 44247.100, 375994.700
9800,540.600, 45727.200, 363007.200
9900,375.000, 44247.200, 347813.100
10000,494.400, 49257.200, 359157.100




Data size, BST os-select, randomised select, select
100,6494.200, 978.000, 4991.400
200,13858.100, 1572.100, 8878.500
300,21668.100, 2011.100, 12775.500
400,30129.000, 2927.900, 17374.900
500,39606.400, 2808.700, 20824.100
600,48218.400, 3892.300, 24183.200
700,57945.500, 4137.800, 28720.000
800,66047.800, 4472.900, 32892.200
900,76465.900, 5512.200, 35770.100
1000,83655.600, 5072.900, 40416.600
1100,93722.600, 4943.100, 46711.300
1200,114741.400, 6003.200, 46591.500
1300,112140.800, 6107.100, 50916.800
1400,122879.800, 6694.800, 55052.300
1500,137981.600, 6794.200, 60048.200
1600,157839.100, 6020.200, 63205.400
1700,165127.600, 7179.000, 64204.100
1800,167699.600, 9699.500, 70870.400
1900,185958.400, 8444.200, 86721.800
2000,187158.500, 8792.600, 76592.900
2100,215653.000, 8594.800, 75898.800
2200,211607.700, 9068.600, 86373.200
2300,220669.200, 11556.600, 86672.100
2400,244123.800, 9222.300, 95680.300
2500,256493.800, 11897.100, 95078.400
2600,253906.600, 10669.300, 111055.800
2700,272308.500, 10902.400, 106133.000
2800,280978.800, 14961.400, 121352.600
2900,317399.200, 12109.800, 113608.500
3000,304157.000, 10104.300, 114162.500
3100,331092.200, 12877.000, 114190.900
3200,337530.400, 11379.000, 119949.900
3300,346022.400, 18064.000, 124850.600
3400,371365.000, 12536.500, 139198.400
3500,370184.100, 14594.200, 135069.900
3600,375475.200, 16235.800, 135511.200
3700,401503.600, 17693.800, 149005.300
3800,410633.200, 15759.700, 145090.900
3900,415150.900, 14050.200, 147635.200
4000,441507.700, 17053.300, 149850.600
4100,447759.500, 19778.500, 156801.600
4200,459533.600, 16698.800, 156772.800
4300,477585.600, 18256.400, 153507.200
4400,479410.700, 23796.200, 161858.900
4500,506884.600, 18585.400, 171609.000
4600,531857.600, 22652.600, 179121.700
4700,595906.500, 17408.400, 204151.200
4800,586634.600, 25295.200, 216573.400
4900,545491.400, 21757.100, 185969.600
5000,557718.700, 18698.300, 188283.700
5100,566697.000, 20570.400, 190386.800
5200,580550.200, 25160.600, 193919.100
5300,592368.400, 19670.100, 194284.700
5400,599727.300, 22009.000, 213757.700
5500,618424.500, 23062.300, 204330.400
5600,655626.200, 29089.100, 203026.200
5700,631738.100, 23679.500, 221441.500
5800,646353.900, 27605.100, 223801.800
5900,682124.300, 25093.200, 219076.200
6000,703423.900, 24370.500, 223364.300
6100,715197.200, 26002.500, 222843.700
6200,714272.000, 24330.000, 227825.800
6300,731239.600, 23609.600, 235465.500
6400,731496.200, 19159.600, 236995.600
6500,752034.600, 29482.500, 238964.600
6600,749218.000, 28454.500, 246594.500
6700,763476.600, 28137.400, 239071.800
6800,801481.500, 28172.000, 268379.100
6900,818734.500, 23787.100, 247157.500
7000,819241.700, 31325.200, 251240.300
7100,877177.800, 38538.000, 290431.700
7200,948985.700, 22810.400, 289198.400
7300,860486.700, 21904.300, 270530.200
7400,880672.800, 24551.400, 272199.200
7500,907226.000, 27110.600, 271878.000
7600,945990.900, 37294.500, 275356.300
7700,929050.300, 35374.500, 277746.300
7800,956082.700, 35796.400, 283442.700
7900,949747.300, 37727.500, 286359.500
8000,973063.000, 27555.100, 294795.400
8100,1000636.500, 29460.600, 302649.000
8200,1024472.500, 32886.500, 299139.500
8300,1044580.800, 33164.600, 309900.500
8400,1277141.000, 39212.000, 305822.900
8500,1056607.200, 27853.300, 307737.900
8600,1078715.200, 25450.300, 314548.300
8700,1066173.000, 45045.000, 312933.000
8800,1063360.100, 36016.800, 308027.500
8900,1295465.100, 50293.100, 373942.800
9000,1118091.200, 40522.300, 329292.300
9100,1142760.800, 38491.800, 329061.500
9200,1154155.400, 38811.700, 327304.300
9300,1151926.300, 32269.000, 342790.900
9400,1186111.700, 39810.700, 338607.600
9500,1188826.700, 34890.700, 348636.700
9600,1240276.700, 39114.000, 353430.500
9700,1218772.200, 40064.200, 338050.900
9800,1225469.000, 33488.500, 365918.700
9900,1250107.300, 33241.900, 342767.400
10000,1252725.000, 41165.500, 363825.900
